bin,total,start3=0,start3=1,start3=2,start3=3,start3=4,start3=5,start3=6,start3=7,start3=8
0.123000,0.000284,0.000000,0.000063,0.000189,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000
0.124000,0.000568,0.000032,0.000189,0.000221,0.000126,0.000000,0.000000,0.000000,0.000000,0.000000
0.125000,0.000473,0.000032,0.000158,0.000284,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.126000,0.000284,0.000032,0.000126,0.000126,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.127000,0.000505,0.000000,0.000221,0.000189,0.000063,0.000032,0.000000,0.000000,0.000000,0.000000
0.128000,0.000505,0.000000,0.000315,0.000158,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000
0.129000,0.000536,0.000063,0.000221,0.000158,0.000063,0.000032,0.000000,0.000000,0.000000,0.000000
0.130000,0.000442,0.000000,0.000095,0.000284,0.000063,0.000000,0.000000,0.000000,0.000000,0.000000
0.131000,0.000442,0.000000,0.000158,0.000221,0.000063,0.000000,0.000000,0.000000,0.000000,0.000000
0.132000,0.000378,0.000032,0.000189,0.000158,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.133000,0.000442,0.000032,0.000126,0.000126,0.000095,0.000063,0.000000,0.000000,0.000000,0.000000
0.134000,0.000442,0.000000,0.000284,0.000126,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000
0.135000,0.000252,0.000000,0.000095,0.000095,0.000063,0.000000,0.000000,0.000000,0.000000,0.000000
0.136000,0.000189,0.000000,0.000095,0.000095,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.137000,0.000315,0.000000,0.000158,0.000158,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.138000,0.000315,0.000000,0.000095,0.000158,0.000063,0.000000,0.000000,0.000000,0.000000,0.000000
0.139000,0.000252,0.000000,0.000158,0.000063,0.000000,0.000032,0.000000,0.000000,0.000000,0.000000
0.140000,0.000221,0.000000,0.000095,0.000095,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000
0.141000,0.000158,0.000000,0.000063,0.000063,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000
0.142000,0.000347,0.000000,0.000095,0.000221,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000
0.143000,0.000189,0.000000,0.000063,0.000032,0.000095,0.000000,0.000000,0.000000,0.000000,0.000000
0.144000,0.000252,0.000000,0.000063,0.000158,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000
0.145000,0.000189,0.000000,0.000095,0.000095,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.146000,0.000252,0.000032,0.000126,0.000063,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000
0.147000,0.000126,0.000000,0.000095,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.148000,0.000252,0.000000,0.000126,0.000095,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000
0.149000,0.000221,0.000000,0.000126,0.000095,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.150000,0.000063,0.000000,0.000032,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.151000,0.000126,0.000000,0.000095,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.152000,0.000095,0.000000,0.000032,0.000063,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.153000,0.000063,0.000000,0.000032,0.000000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000
0.155000,0.000158,0.000000,0.000095,0.000063,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.156000,0.000032,0.000000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.157000,0.000126,0.000032,0.000000,0.000095,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.158000,0.000095,0.000000,0.000063,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.159000,0.000063,0.000032,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.160000,0.000063,0.000000,0.000063,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.163000,0.000063,0.000000,0.000063,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.164000,0.000063,0.000000,0.000032,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.165000,0.000126,0.000000,0.000095,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.166000,0.000126,0.000000,0.000063,0.000063,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.167000,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.168000,0.000063,0.000000,0.000063,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.169000,0.000189,0.000000,0.000095,0.000095,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.170000,0.000063,0.000000,0.000063,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.172000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000032,0.000000,0.000000,0.000000,0.000000
0.173000,0.000095,0.000000,0.000032,0.000063,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.174000,0.000032,0.000000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.175000,0.000032,0.000000,0.000000,0.000000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000
0.176000,0.000032,0.000000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.177000,0.000063,0.000000,0.000063,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.178000,0.000095,0.000000,0.000095,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.179000,0.000063,0.000000,0.000032,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.180000,0.000063,0.000000,0.000032,0.000000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000
0.181000,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.182000,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.183000,0.000095,0.000000,0.000032,0.000032,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000
0.185000,0.000063,0.000032,0.000000,0.000000,0.000000,0.000032,0.000000,0.000000,0.000000,0.000000
0.186000,0.000095,0.000000,0.000063,0.000000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000
0.187000,0.000063,0.000000,0.000032,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.188000,0.000032,0.000000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.189000,0.000032,0.000000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.190000,0.000063,0.000000,0.000063,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.191000,0.000032,0.000000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.192000,0.000032,0.000000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.193000,0.000095,0.000000,0.000000,0.000095,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.194000,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.196000,0.000063,0.000000,0.000032,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.197000,0.000063,0.000000,0.000032,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.202000,0.000032,0.000000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.204000,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.207000,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.211000,0.000032,0.000000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.214000,0.000063,0.000000,0.000032,0.000000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000
0.217000,0.000063,0.000000,0.000032,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.218000,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.220000,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.223000,0.000063,0.000000,0.000000,0.000032,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000
0.225000,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.229000,0.000032,0.000000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.234000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000032,0.000000,0.000000,0.000000
0.239000,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.245000,0.000032,0.000000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.272000,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.280000,0.000032,0.000000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.309000,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
